Complited in 0.000702
a[12][29] = 2.52381, 
a[12][30] = 2.46512, 
a[12][31] = 2.40909, 
a[12][32] = 2.35556, 
a[12][33] = 2.30435, 
a[12][34] = 2.25532, 
a[12][35] = 2.20833, 
a[12][36] = 2.16327, 
a[12][37] = 2.12, 
a[12][38] = 2.07843, 
a[12][39] = 2.03846, 
a[12][40] = 2, 
a[12][41] = 1.96296, 
a[12][42] = 1.92727, 
a[12][43] = 1.89286, 
a[12][44] = 1.85965, 
a[12][45] = 1.82759, 
a[12][46] = 1.79661, 
a[12][47] = 1.76667, 
a[12][48] = 1.7377, 
a[12][49] = 1.70968, 
a[12][50] = 1.68254, 
a[12][51] = 1.65625, 
a[12][52] = 1.63077, 
a[12][53] = 1.60606, 
a[12][54] = 1.58209, 
a[12][55] = 1.55882, 
a[12][56] = 1.53623, 
a[12][57] = 1.51429, 
a[12][58] = 1.49296, 
a[12][59] = 1.47222, 
a[12][60] = 1.45205, 
a[12][61] = 1.43243, 
a[12][62] = 1.41333, 
a[12][63] = 1.39474, 
a[12][64] = 1.37662, 
a[12][65] = 1.35897, 
a[12][66] = 1.34177, 
a[12][67] = 1.325, 
a[12][68] = 1.30864, 
a[12][69] = 1.29268, 
a[12][70] = 1.27711, 
a[12][71] = 1.2619, 
a[12][72] = 1.24706, 
a[12][73] = 1.23256, 
a[12][74] = 1.21839, 
a[12][75] = 1.20455, 
a[12][76] = 1.19101, 
a[12][77] = 1.17778, 
a[12][78] = 1.16484, 
a[12][79] = 1.15217, 
a[12][80] = 1.13978, 
a[12][81] = 1.12766, 
a[12][82] = 1.11579, 
a[12][83] = 1.10417, 
a[12][84] = 1.09278, 
a[12][85] = 1.08163, 
a[12][86] = 1.07071, 
a[12][87] = 1.06, 
a[12][88] = 1.0495, 
a[12][89] = 1.03922, 
a[12][90] = 1.02913, 
a[12][91] = 1.01923, 
a[12][92] = 1.00952, 
a[12][93] = 4.24, 
a[12][94] = 0.990654, 
a[12][95] = 0.981481, 
a[12][96] = 0.972477, 
a[12][97] = 0.963636, 
a[12][98] = 0.954955, 
a[12][99] = 0.946429, 

a[14][0] = 0.0666667, 
a[14][1] = 0.0366013, 
a[14][2] = 0.020854, 
a[14][3] = 0.00941378, 
a[14][4] = 0.00370517, 
a[14][5] = 0.00117878, 
a[14][6] = 0.000183235, 
a[14][7] = -8.67107e-06, 
a[14][8] = -8.91756e-06, 
a[14][9] = -9.17431e-06, 
a[14][10] = -9.44188e-06, 
a[14][11] = -9.72083e-06, 
a[14][12] = -1.00118e-05, 
a[14][13] = -1.03154e-05, 
a[14][14] = 0.00943396, 
a[14][15] = 3.53333, 
a[14][16] = 3.41935, 
a[14][17] = 3.3125, 
a[14][18] = 3.21212, 
a[14][19] = 3.11765, 
a[14][20] = 3.02857, 
a[14][21] = 2.94444, 
a[14][22] = 2.86486, 
a[14][23] = 2.78947, 
a[14][24] = 2.71795, 
a[14][25] = 2.65, 
a[14][26] = 2.58537, 
a[14][27] = 2.52381, 
a[14][28] = 2.46512, 
a[14][29] = 2.40909, 
a[14][30] = 2.35556, 
a[14][31] = 2.30435, 
a[14][32] = 2.25532, 
a[14][33] = 2.20833, 
a[14][34] = 2.16327, 
a[14][35] = 2.12, 
a[14][36] = 2.07843, 
a[14][37] = 2.03846, 
a[14][38] = 2, 
a[14][39] = 1.96296, 
a[14][40] = 1.92727, 
