Complited in 3.376581
a[24][56] = 51724.9, 
a[24][57] = 57005.1, 
a[24][58] = 62566.6, 
a[24][59] = 68407.2, 
a[24][60] = 74523.4, 
a[24][61] = 80912.3, 
a[24][62] = 87564.7, 
a[24][63] = 94478.4, 
a[24][64] = 101646, 
a[24][65] = 109060, 
a[24][66] = 116716, 
a[24][67] = 124605, 
a[24][68] = 132718, 
a[24][69] = 141051, 
a[24][70] = 149593, 
a[24][71] = 158336, 
a[24][72] = 167273, 
a[24][73] = 176394, 
a[24][74] = 185693, 
a[24][75] = 195160, 
a[24][76] = 204786, 
a[24][77] = 214564, 
a[24][78] = 224485, 
a[24][79] = 234541, 
a[24][80] = 244724, 
a[24][81] = 255025, 
a[24][82] = 265438, 
a[24][83] = 275953, 
a[24][84] = 286564, 
a[24][85] = 297261, 
a[24][86] = 308041, 
a[24][87] = 318894, 
a[24][88] = 329812, 
a[24][89] = 340791, 
a[24][90] = 351822, 
a[24][91] = 362901, 
a[24][92] = 374019, 
a[24][93] = 385171, 
a[24][94] = 396351, 
a[24][95] = 407556, 
a[24][96] = 418776, 
a[24][97] = 430009, 
a[24][98] = 441248, 
a[24][99] = 452490, 

a[32][0] = 0.030303, 
a[32][1] = 0.0142602, 
a[32][2] = 0.00421017, 
a[32][3] = 0.00105254, 
a[32][4] = 0.000235704, 
a[32][5] = 4.82436e-05, 
a[32][6] = 9.10893e-06, 
a[32][7] = 1.59406e-06, 
a[32][8] = 2.59197e-07, 
a[32][9] = 3.92076e-08, 
a[32][10] = 5.52354e-09, 
a[32][11] = 7.38103e-10, 
a[32][12] = 1.27906e-10, 
a[32][13] = 2.04417e-11, 
a[32][14] = 1.23802e-10, 
a[32][15] = 4.82578e-12, 
a[32][16] = 2.31291e-11, 
a[32][17] = 1.37233e-12, 
a[32][18] = 8.93485e-12, 
a[32][19] = -1.22393e-13, 
a[32][20] = 4.93366e-13, 
a[32][21] = 6.153e-13, 
a[32][22] = 7.5715e-14, 
a[32][23] = -3.97089e-14, 
a[32][24] = 1.93227e-14, 
a[32][25] = 8.66365e-14, 
a[32][26] = -7.19294e-14, 
a[32][27] = 3.98867e-15, 
a[32][28] = 1.17377e-13, 
a[32][29] = 1.16576e-15, 
a[32][30] = 4.46418e-16, 
a[32][31] = 3.2626e-18, 
a[32][32] = 1.06366e-16, 
a[32][33] = 4.03655, 
a[32][34] = 11.6644, 
a[32][35] = 25.4557, 
a[32][36] = 47.6087, 
a[32][37] = 82.0009, 
a[32][38] = 132.873, 
a[32][39] = 203.884, 
a[32][40] = 300.919, 
a[32][41] = 428.801, 
a[32][42] = 593.552, 
a[32][43] = 801.491, 
a[32][44] = 1059.83, 
a[32][45] = 1374.22, 
a[32][46] = 1751.96, 
a[32][47] = 2200.36, 
a[32][48] = 2725.15, 
a[32][49] = 3334.37, 
a[32][50] = 4034.77, 
a[32][51] = 4832.05, 
a[32][52] = 5732.7, 
a[32][53] = 6743.02, 
a[32][54] = 7868.54, 
a[32][55] = 9115.02, 
a[32][56] = 10487, 
a[32][57] = 11989.6, 
a[32][58] = 13626.3, 
a[32][59] = 15401.8, 
a[32][60] = 17318.8, 
a[32][61] = 19381.3, 
a[32][62] = 21590.3, 
a[32][63] = 23949.3, 
a[32][64] = 26459.6, 
a[32][65] = 29121.8, 
a[32][66] = 31938.5, 
a[32][67] = 34909.4, 
a[32][68] = 38034.5, 
a[32][69] = 41314.6, 
a[32][70] = 44748.4, 
a[32][71] = 48335.5, 
a[32][72] = 52075, 
a[32][73] = 55965.3, 
a[32][74] = 60005.2, 
a[32][75] = 64193.1, 
a[32][76] = 68526.5, 
a[32][77] = 73003.5, 
a[32][78] = 77621.3, 
