Complited in 0.996132
a[36][24] = 2.18502e-13, 
a[36][25] = 6.79306e-14, 
a[36][26] = 1.9299e-14, 
a[36][27] = 1.32686e-13, 
a[36][28] = 6.85086e-15, 
a[36][29] = 7.74852e-15, 
a[36][30] = 3.28503e-15, 
a[36][31] = 2.97847e-16, 
a[36][32] = 2.23302e-15, 
a[36][33] = 1.66333e-15, 
a[36][34] = 2.00973e-16, 
a[36][35] = 5.34797e-17, 
a[36][36] = 2.15539e-17, 
a[36][37] = -0.580329, 
a[36][38] = -0.395798, 
a[36][39] = -0.611667, 
a[36][40] = -0.203203, 
a[36][41] = -1.40959, 
a[36][42] = -1.31637, 
a[36][43] = 0.780704, 
a[36][44] = 0.242609, 
a[36][45] = -0.390879, 
a[36][46] = 0.0241486, 
a[36][47] = -0.826185, 
a[36][48] = -0.844788, 
a[36][49] = 0.0228611, 

a[40][0] = 0.0238095, 
a[40][1] = 0.0108225, 
a[40][2] = 0.0308838, 
a[40][3] = 0.00672688, 
a[40][4] = 0.0031077, 
a[40][5] = 0.00189006, 
a[40][6] = 0.000664817, 
a[40][7] = 0.000118396, 
a[40][8] = 3.88146e-05, 
a[40][9] = 1.61017e-05, 
a[40][10] = 2.63275e-06, 
a[40][11] = 3.07755e-07, 
a[40][12] = 4.45861e-08, 
a[40][13] = 3.99338e-09, 
a[40][14] = 4.06645e-10, 
a[40][15] = 8.11787e-10, 
a[40][16] = 1.10427e-10, 
a[40][17] = 3.47393e-10, 
a[40][18] = 4.77032e-10, 
a[40][19] = 3.94816e-11, 
a[40][20] = -5.34748e-12, 
a[40][21] = 8.82085e-12, 
a[40][22] = 2.94314e-12, 
a[40][23] = 3.45854e-12, 
a[40][24] = 6.98982e-13, 
a[40][25] = 2.35116e-13, 
a[40][26] = 6.21219e-14, 
a[40][27] = 5.08806e-13, 
a[40][28] = 2.64122e-14, 
a[40][29] = 3.2071e-14, 
a[40][30] = 1.23475e-14, 
a[40][31] = 3.63815e-16, 
a[40][32] = 1.59602e-14, 
a[40][33] = 1.24382e-14, 
a[40][34] = 1.98746e-15, 
a[40][35] = 5.85995e-16, 
a[40][36] = 6.45885e-16, 
a[40][37] = 1.28708e-16, 
a[40][38] = 8.34592e-17, 
a[40][39] = 1.75355e-16, 
a[40][40] = 1.69343e-17, 
a[2][0] = 0.25, 
a[2][1] = 0.0416667, 
a[2][2] = 0.0416667, 
a[2][3] = -0.0333333, 
a[2][4] = 0.0285714, 
a[2][5] = 0.047619, 
a[2][6] = 0.0595238, 
a[2][7] = 0.0666667, 
a[2][8] = 0.0707071, 
a[2][9] = 0.0727273, 
a[2][10] = 0.0734266, 
a[2][11] = 0.0732601, 
a[2][12] = 0.0725275, 
a[2][13] = 0.0714286, 
a[2][14] = 0.070098, 
a[2][15] = 0.0686275, 
a[2][16] = 0.0670795, 
a[2][17] = 0.0654971, 
a[2][18] = 0.0639098, 
a[2][19] = 0.0623377, 
a[2][20] = 0.0607943, 
a[2][21] = 0.0592885, 
a[2][22] = 0.0578261, 
a[2][23] = 0.0564103, 
a[2][24] = 0.0550427, 
a[2][25] = 0.0537241, 
a[2][26] = 0.0524539, 
a[2][27] = 0.0512315, 
a[2][28] = 0.0500556, 
a[2][29] = 0.0489247, 
a[2][30] = 0.0478372, 
a[2][31] = 0.0467914, 
a[2][32] = 0.0457856, 
a[2][33] = 0.0448179, 
a[2][34] = 0.0438867, 
a[2][35] = 0.0429904, 
a[2][36] = 0.0421271, 
a[2][37] = 0.0412955, 
a[2][38] = 0.0404941, 
a[2][39] = 0.0397213, 
a[2][40] = 0.0389758, 
a[2][41] = 0.0382563, 
a[2][42] = 0.0375617, 
a[2][43] = 0.0368906, 
a[2][44] = 0.0362422, 
a[2][45] = 0.0356152, 
a[2][46] = 0.0350087, 
a[2][47] = 0.0344218, 
a[2][48] = 0.0338535, 
a[2][49] = 0.0333032, 

a[6][0] = 0.125, 
a[6][1] = 0.0375, 
a[6][2] = 0.0803571, 
a[6][3] = 0.00497449, 
a[6][4] = 0.00032712, 
a[6][5] = 3.996e-05, 
a[6][6] = 1.91872e-06, 
a[6][7] = 0.103465, 
a[6][8] = 0.148337, 
a[6][9] = 0.149332, 
a[6][10] = 0.123686, 
a[6][11] = 0.0848416, 
a[6][12] = 0.0417957, 
a[6][13] = -0.151515, 
a[6][14] = -0.0375645, 
a[6][15] = -0.0695155, 
a[6][16] = -0.095449, 
a[6][17] = -0.115526, 
a[6][18] = -0.130208, 
a[6][19] = -0.140093, 
a[6][20] = -0.145821, 
a[6][21] = -0.148014, 
a[6][22] = -0.147249, 
a[6][23] = -0.144047, 
a[6][24] = -0.138862, 
a[6][25] = -0.132091, 
a[6][26] = -0.124073, 
a[6][27] = -0.115094, 
a[6][28] = -0.105398, 
a[6][29] = -0.0951856, 
a[6][30] = -0.0846261, 
a[6][31] = -0.0738585, 
a[6][32] = -0.0629974, 
a[6][33] = -0.052136, 
a[6][34] = -0.04135, 
a[6][35] = -0.0307002, 
a[6][36] = -0.0202348, 
a[6][37] = -0.00999175, 
a[6][38] = -0.252893, 
a[6][39] = 0.00971854, 
a[6][40] = 0.019148, 
a[6][41] = 0.0282776, 
a[6][42] = 0.0371005, 
a[6][43] = 0.0456132, 
a[6][44] = 0.053815, 
a[6][45] = 0.0617076, 
a[6][46] = 0.0692941, 
a[6][47] = 0.0765792, 
a[6][48] = 0.0835689, 
a[6][49] = 0.0902699, 

a[10][0] = 0.0833333, 
a[10][1] = 0.0297619, 
a[10][2] = 0.0730519, 
a[10][3] = 0.00753711, 
a[10][4] = 0.00106208, 
a[10][5] = 0.00029764, 
a[10][6] = 4.94703e-05, 
a[10][7] = 1.55472e-06, 
a[10][8] = 1.39008e-07, 
a[10][9] = 7.09193e-09, 
a[10][10] = 9.35145e-11, 
a[10][11] = 0.526478, 
a[10][12] = 0.235472, 
a[10][13] = -0.347274, 
a[10][14] = -0.157657, 
a[10][15] = -0.238148, 
a[10][16] = -0.254096, 
a[10][17] = -0.222527, 
a[10][18] = -0.160404, 
a[10][19] = -0.0823883, 
a[10][20] = 0.815044, 
a[10][21] = 0.078426, 
a[10][22] = 0.147379, 
a[10][23] = 0.203657, 
a[10][24] = 0.245843, 
a[10][25] = 0.273824, 
a[10][26] = 0.288383, 
a[10][27] = 0.290883, 
a[10][28] = 0.283012, 
a[10][29] = 0.266605, 
a[10][30] = 0.243517, 
a[10][31] = 0.215527, 
a[10][32] = 0.18429, 
a[10][33] = 0.151298, 
a[10][34] = 0.117873, 
a[10][35] = 0.0851482, 
a[10][36] = 0.0540884, 
a[10][37] = 0.0254903, 
a[10][38] = 0.952048, 
a[10][39] = -0.0218748, 
a[10][40] = -0.0397498, 
a[10][41] = -0.0533466, 
a[10][42] = -0.0624825, 
a[10][43] = -0.067051, 
a[10][44] = -0.0670185, 
a[10][45] = -0.0624015, 
a[10][46] = -0.0532728, 
a[10][47] = -0.0397337, 
a[10][48] = -0.0219229, 
a[10][49] = 0.583408, 

a[14][0] = 0.0625, 
a[14][1] = 0.0243056, 
a[14][2] = 0.0631944, 
a[14][3] = 0.00838294, 
a[14][4] = 0.00171618, 
a[14][5] = 0.000648897, 
a[14][6] = 0.000148456, 
a[14][7] = 8.74792e-06, 
a[14][8] = 1.44081e-06, 
a[14][9] = 1.9532e-07, 
a[14][10] = 1.07312e-08, 
a[14][11] = 2.68387e-10, 
a[14][12] = 8.77382e-12, 
a[14][13] = 1.01368e-13, 
a[14][14] = 8.32255e-16, 
a[14][15] = -0.509326, 
a[14][16] = -5.35024, 
a[14][17] = -0.265148, 
a[14][18] = 0.20833, 
a[14][19] = 0.50002, 
a[14][20] = -2.41504, 
a[14][21] = -0.170241, 
a[14][22] = 0.592357, 
a[14][23] = 0.364033, 
a[14][24] = 0.56924, 
a[14][25] = 0.394251, 
a[14][26] = 0.285612, 
a[14][27] = -0.126293, 
a[14][28] = 0.386707, 
a[14][29] = 0.0358863, 
a[14][30] = 0.722229, 
a[14][31] = -0.751403, 
a[14][32] = 0.977532, 
a[14][33] = 0.496264, 
a[14][34] = 0.71802, 
a[14][35] = 0.583839, 
a[14][36] = 0.403026, 
a[14][37] = 0.42336, 
a[14][38] = -2.3144, 
a[14][39] = 0.42015, 
a[14][40] = -0.327161, 
a[14][41] = -0.470468, 
a[14][42] = -1.12082, 
a[14][43] = -0.920848, 
a[14][44] = -1.02745, 
a[14][45] = -0.801972, 
a[14][46] = -0.792971, 
a[14][47] = -0.697715, 
a[14][48] = -0.396384, 
a[14][49] = -0.843814, 

a[18][0] = 0.05, 
a[18][1] = 0.0204545, 
a[18][2] = 0.0549043, 
a[18][3] = 0.0084971, 
a[18][4] = 0.00220565, 
a[18][5] = 0.000980747, 
a[18][6] = 0.000262366, 
a[18][7] = 2.18262e-05, 
a[18][8] = 4.6666e-06, 
a[18][9] = 9.46223e-07, 
a[18][10] = 8.02089e-08, 
a[18][11] = 3.67059e-09, 
a[18][12] = 2.36945e-10, 
a[18][13] = 7.34977e-12, 
a[18][14] = 2.25653e-13, 
a[18][15] = 2.1623e-13, 
a[18][16] = 2.39878e-14, 
a[18][17] = 2.91937e-15, 
a[18][18] = 1.73029e-15, 
a[18][19] = -0.0745789, 
a[18][20] = 0.0119376, 
a[18][21] = -0.249533, 
a[18][22] = -0.083845, 
a[18][23] = -0.093551, 
a[18][24] = -0.300585, 
a[18][25] = 0.142031, 
a[18][26] = -0.0018197, 
a[18][27] = -0.189122, 
a[18][28] = 0.0191073, 
a[18][29] = 0.00818934, 
a[18][30] = 0.178402, 
a[18][31] = 0.295371, 
a[18][32] = 0.140781, 
a[18][33] = -0.117581, 
a[18][34] = -0.0683989, 
a[18][35] = 0.0453381, 
a[18][36] = 0.0059639, 
a[18][37] = -0.0719018, 
a[18][38] = -0.120634, 
a[18][39] = -0.0338459, 
a[18][40] = -0.0851125, 
a[18][41] = 0.0638798, 
a[18][42] = -0.0997017, 
a[18][43] = -0.0360385, 
a[18][44] = -0.134338, 
a[18][45] = -0.00369766, 
a[18][46] = 0.00571339, 
a[18][47] = 0.22994, 
a[18][48] = -0.073696, 
